,Frequency,Recency,Monetary,Cluster,Cluster Name
0,398,0,291420.81,2,Champions
1,336,0,53539.64,2,Champions
2,211,1,68545.25,2,Champions
3,208,0,114966.42,2,Champions
4,203,2,113416.91,2,Champions
5,192,0,29951.37,2,Champions
6,155,371,51208.87,2,Champions
7,154,9,308155.61,2,Champions
8,151,1,528602.52,2,Champions
9,145,0,580987.04,2,Champions
10,143,3,195640.69,2,Champions
11,127,3,126389.02,2,Champions
12,122,2,27246.88,2,Champions
13,117,0,108328.48,2,Champions
14,116,3,15704.6,2,Champions
15,110,0,75428.87,2,Champions
16,109,16,61920.87,2,Champions
17,106,1,50174.782,2,Champions
18,106,38,109620.87,2,Champions
19,100,20,2866.74,2,Champions
20,93,9,39141.48,2,Champions
21,84,3,56078.44,2,Champions
22,82,7,91194.49,2,Champions
23,79,1,39918.19,2,Champions
24,78,23,17644.27,2,Champions
25,74,8,35233.24,2,Champions
26,73,1,33903.57,2,Champions
27,72,1,12793.28,2,Champions
28,70,0,37642.48,2,Champions
29,69,0,20203.58,2,Champions
30,67,3,15964.210000000001,2,Champions
31,66,10,10360.67,2,Champions
32,61,0,49638.26,2,Champions
33,61,0,57215.33,2,Champions
34,60,2,172132.87,2,Champions
35,58,4,21323.22,2,Champions
36,58,24,55688.5,2,Champions
37,57,21,92347.34,2,Champions
38,57,2,29018.06,2,Champions
39,56,3,12240.16,2,Champions
40,56,3,22992.260000000002,2,Champions
41,56,15,13754.58,2,Champions
42,56,0,9074.05,2,Champions
43,55,3,147142.77,2,Champions
44,55,275,54144.25,2,Champions
45,54,10,20395.34,2,Champions
46,54,1,35058.46,2,Champions
47,54,3,23581.78,2,Champions
48,53,6,17286.73,2,Champions
49,53,1,32809.03,2,Champions
50,52,3,32275.95,2,Champions
51,52,14,17467.24,2,Champions
52,52,3,22950.22,2,Champions
53,51,7,244784.25,2,Champions
54,48,1,24151.3,2,Champions
55,47,9,21373.97,2,Champions
56,47,11,8987.68,2,Champions
57,47,3,9519.8,2,Champions
58,46,6,88612.52,2,Champions
59,46,0,17524.38,2,Champions
60,46,496,14523.67,2,Champions
61,46,30,26312.190000000002,2,Champions
62,45,14,29834.76,2,Champions
63,45,0,31466.760000000002,2,Champions
64,44,6,39019.51,2,Champions
65,44,2,24972.86,2,Champions
66,44,8,21758.25,2,Champions
67,44,6,6114.03,2,Champions
68,43,0,17951.17,2,Champions
69,43,21,15407.61,2,Champions
70,43,1,12580.06,2,Champions
71,43,3,45179.1,2,Champions
72,43,1,9599.58,2,Champions
73,42,4,16425.86,2,Champions
74,42,0,43515.051,2,Champions
75,42,4,18046.75,2,Champions
76,41,427,5996.83,2,Champions
77,41,7,8711.95,2,Champions
78,41,18,13043.32,2,Champions
79,40,25,13517.76,2,Champions
80,40,4,6958.2,2,Champions
81,39,0,8676.2,2,Champions
82,39,1,12683.4,2,Champions
83,39,28,14587.87,2,Champions
84,39,8,11944.56,2,Champions
85,38,0,13304.11,2,Champions
86,38,0,9284.45,2,Champions
87,38,11,8018.7699999999995,2,Champions
88,38,9,9636.12,2,Champions
89,38,8,36398.65,2,Champions
90,38,7,25119.54,2,Champions
91,38,3,9795.460000000001,2,Champions
92,38,1,9555.71,2,Champions
93,37,0,18230.07,2,Champions
94,37,143,16498.97,2,Champions
95,37,121,4980.4,2,Champions
96,37,0,21770.98,2,Champions
97,37,0,11380.1,2,Champions
98,36,4,18670.59,2,Champions
99,36,13,11924.85,2,Champions
100,36,11,11650.85,2,Champions
101,36,2,9429.81,2,Champions
102,36,11,11243.91,2,Champions
103,36,21,16955.55,2,Champions
104,35,40,12523.81,2,Champions
105,35,1,33750.97,2,Champions
106,35,6,12973.460000000001,2,Champions
107,35,2,12948.48,2,Champions
108,35,32,26437.05,2,Champions
109,35,18,16024.15,2,Champions
110,35,1,24311.2,2,Champions
111,35,42,19571.43,2,Champions
112,35,14,11986.52,2,Champions
113,35,1,7720.9,2,Champions
114,35,15,9763.16,2,Champions
115,34,14,30291.76,2,Champions
116,34,10,57387.1,2,Champions
117,34,115,15308.89,2,Champions
118,34,9,12781.8,2,Champions
119,34,1,22116.73,2,Champions
120,33,10,6117.5,2,Champions
121,33,21,8548.16,2,Champions
122,33,19,22254.49,2,Champions
123,33,3,24042.65,2,Champions
124,33,2,13551.75,2,Champions
125,33,0,9811.04,2,Champions
126,33,3,12987.95,2,Champions
127,33,162,16584.01,2,Champions
128,33,1,9720.67,2,Champions
129,32,2,7331.67,2,Champions
130,32,59,17629.35,2,Champions
131,32,11,13157.130000000001,2,Champions
132,32,19,12100.4,2,Champions
133,32,18,14115.56,2,Champions
134,32,1,4124.69,2,Champions
135,31,32,10195.97,2,Champions
136,31,16,12372.75,2,Champions
137,31,11,11559.66,2,Champions
138,31,3,20272.15,2,Champions
139,31,4,8923.3,2,Champions
140,30,65,6583.36,2,Champions
141,30,5,12518.65,2,Champions
142,30,3,6120.01,2,Champions
143,30,80,3559.11,2,Champions
144,30,2,5690.89,2,Champions
145,30,10,14191.74,2,Champions
146,30,2,8393.02,2,Champions
147,30,22,10148.93,2,Champions
148,30,2,7787.28,2,Champions
149,30,21,16833.170000000002,2,Champions
150,30,4,8898.24,2,Champions
151,29,3,23494.31,2,Champions
152,29,7,5601.01,2,Champions
153,29,5,5866.63,2,Champions
154,29,10,6221.02,2,Champions
155,29,575,23691.4,2,Champions
156,29,7,12160.31,2,Champions
157,29,0,6368.78,2,Champions
158,29,0,11097.43,2,Champions
159,29,9,9502.26,2,Champions
160,29,79,3897.5299999999997,2,Champions
161,29,37,7006.65,2,Champions
162,29,371,65500.07,2,Champions
163,29,2,12576.99,2,Champions
164,28,23,144458.37,2,Champions
165,28,72,3603.14,2,Champions
166,28,21,6083.81,2,Champions
167,28,9,11202.59,2,Champions
168,28,1,11916.33,2,Champions
169,28,191,6854.17,2,Champions
170,28,11,10150.51,2,Champions
171,28,3,7807.91,2,Champions
172,28,0,8537.32,2,Champions
173,28,6,8337.53,2,Champions
174,28,0,11972.92,2,Champions
175,28,8,17654.54,2,Champions
176,28,7,7190.42,2,Champions
177,28,11,56838.37,2,Champions
178,28,0,28882.44,2,Champions
179,28,32,13324.1,2,Champions
180,28,122,7847.67,2,Champions
181,28,2,12021.53,2,Champions
182,28,40,4347.31,2,Champions
183,27,7,14070.25,2,Champions
184,27,2,13591.58,2,Champions
185,27,0,10169.33,2,Champions
186,27,37,7679.59,2,Champions
187,27,46,17329.16,2,Champions
188,27,5,10608.81,2,Champions
189,27,35,10432.22,2,Champions
190,27,51,4467.66,2,Champions
191,26,2,13014.8,2,Champions
192,26,43,11878.88,2,Champions
193,26,6,10057.05,2,Champions
194,26,9,2997.28,2,Champions
195,26,4,14000.85,2,Champions
196,26,2,9669.12,2,Champions
197,26,2,6187.66,2,Champions
198,26,3,6638.150000000001,2,Champions
199,26,1,16790.33,2,Champions
200,26,28,8497.82,2,Champions
201,26,8,9916.73,2,Champions
202,26,12,4537.26,2,Champions
203,26,4,10496.28,2,Champions
204,26,22,8718.43,2,Champions
205,26,3,4998.61,2,Champions
206,26,1,8898.48,2,Champions
207,25,11,7064.8,2,Champions
208,25,12,4076.5,2,Champions
209,25,8,7623.79,2,Champions
210,25,3,11573.62,2,Champions
211,25,8,32051.34,2,Champions
212,25,17,5706.87,2,Champions
213,25,99,8767.73,2,Champions
214,25,6,8736.49,2,Champions
215,25,0,4996.45,2,Champions
216,25,8,8830.77,2,Champions
217,25,14,8886.33,2,Champions
218,25,9,9972.550000000001,2,Champions
219,25,2,7250.76,2,Champions
220,25,20,1807.44,2,Champions
221,25,15,19566.76,2,Champions
222,24,1,8839.67,2,Champions
223,24,6,4528.54,2,Champions
224,24,7,7229.45,2,Champions
225,24,2,15677.82,2,Champions
226,24,9,25585.65,2,Champions
227,24,0,9978.48,2,Champions
228,24,5,4721.25,2,Champions
229,24,3,27347.04,2,Champions
230,24,31,8428.53,2,Champions
231,24,8,13091.74,2,Champions
232,24,155,4909.66,2,Champions
233,24,24,17024.87,2,Champions
234,24,14,6696.33,2,Champions
235,24,3,4735.08,2,Champions
236,24,22,15956.97,2,Champions
237,23,1,8655.95,2,Champions
238,23,18,4352.35,2,Champions
239,23,17,13702.38,2,Champions
240,23,49,6860.18,2,Champions
241,23,1,3298.59,2,Champions
242,23,69,19759.079999999998,2,Champions
243,23,4,5032.22,2,Champions
244,23,16,10923.16,2,Champions
245,23,15,14083.91,2,Champions
246,23,0,11980.09,2,Champions
247,23,172,9947.26,2,Champions
248,23,3,47781.12,2,Champions
249,23,4,4635.5599999999995,2,Champions
250,23,16,14205.96,2,Champions
251,23,1,7904.1,2,Champions
252,23,0,8152.71,2,Champions
253,23,1,9061.77,2,Champions
254,23,18,5554.89,2,Champions
255,23,0,6849.15,2,Champions
256,23,1,5297.77,2,Champions
257,23,49,6695.28,2,Champions
258,22,0,8167.38,2,Champions
259,22,23,8346.66,2,Champions
260,22,7,26626.8,2,Champions
261,22,3,6795.9,2,Champions
262,22,3,10020.86,2,Champions
263,22,18,5921.35,2,Champions
264,22,10,11468.83,2,Champions
265,22,6,6191.71,2,Champions
266,22,15,23763.13,2,Champions
267,22,16,8189.56,2,Champions
268,22,3,2664.9,2,Champions
269,22,10,16410.15,2,Champions
270,22,30,15526.7,2,Champions
271,22,65,6948.92,2,Champions
272,22,23,8085.9800000000005,2,Champions
273,22,29,17298.45,2,Champions
274,21,42,4263.17,2,Champions
275,21,305,17180.25,2,Champions
276,21,15,8524.86,2,Champions
277,21,10,9782.35,2,Champions
278,21,157,16245.78,2,Champions
279,21,8,20324.54,2,Champions
280,21,25,14059.19,2,Champions
